ExamId,Type,Date,TotalMarks,CourseId
164,Final,2025-11-20,50,589
165,Final,2025-11-26,100,614
166,Final,2025-03-19,30,895
167,Final,2025-01-05,50,574
168,Quiz,2025-01-27,100,248
169,Final,2025-07-01,100,83
170,Midterm,2025-09-21,100,758
171,Final,2025-01-26,100,710
172,Final,2025-11-10,20,781
173,Midterm,2025-07-05,50,204
174,Quiz,2025-01-15,20,365
175,Quiz,2025-11-16,100,198
176,Final,2025-05-29,30,811
177,Final,2025-01-15,100,48
178,Quiz,2025-02-28,30,774
179,Quiz,2025-07-11,20,657
180,Final,2025-01-21,100,952
181,Final,2025-02-10,20,912
182,Quiz,2025-02-24,100,371
183,Midterm,2025-05-26,30,589
184,Quiz,2025-12-25,20,807
185,Final,2025-01-04,50,813
186,Final,2025-03-27,20,538
187,Final,2025-03-01,30,56
188,Midterm,2025-11-25,100,850
189,Midterm,2025-08-06,50,771
190,Midterm,2025-04-16,100,342
191,Final,2025-05-30,30,443
192,Quiz,2025-05-09,30,3
193,Final,2025-07-09,50,149
194,Final,2025-06-27,30,252
195,Final,2025-12-22,30,728
196,Quiz,2025-03-09,50,86
197,Final,2025-12-12,100,517
198,Quiz,2025-01-21,100,149
199,Quiz,2025-06-20,100,8
200,Midterm,2025-09-07,30,560
201,Quiz,2025-11-13,50,18
202,Quiz,2025-11-28,20,908
203,Quiz,2025-01-04,50,83
204,Midterm,2025-07-09,20,714
205,Quiz,2025-02-10,30,88
206,Quiz,2025-05-26,50,16
207,Final,2025-02-27,20,646
208,Final,2025-09-16,30,142
209,Quiz,2025-03-17,50,518
210,Final,2025-08-27,100,865
211,Midterm,2025-03-27,20,464
212,Quiz,2025-03-01,50,433
213,Midterm,2025-06-26,30,524
214,Final,2025-11-26,100,152
215,Final,2025-06-16,20,716
216,Midterm,2025-08-02,100,420
217,Midterm,2025-09-30,20,53
218,Quiz,2025-12-02,100,160
219,Final,2025-07-08,50,919
220,Final,2025-03-16,20,935
221,Midterm,2025-03-11,20,881
222,Final,2025-07-09,100,700
223,Midterm,2025-02-24,50,676
224,Final,2025-12-07,20,276
225,Final,2025-12-16,100,516
226,Final,2025-09-06,100,335
227,Final,2025-03-24,100,638
228,Midterm,2025-05-28,30,743
229,Midterm,2025-11-27,30,469
230,Midterm,2025-01-03,100,822
231,Quiz,2025-09-04,100,823
232,Final,2025-06-11,50,644
233,Quiz,2025-05-07,20,83
234,Midterm,2025-09-30,20,171
235,Midterm,2025-05-18,30,842
236,Midterm,2025-04-20,100,300
237,Quiz,2025-06-21,20,690
238,Midterm,2025-10-07,100,335
239,Quiz,2025-09-25,20,480
240,Quiz,2025-08-09,20,568
241,Quiz,2025-12-07,20,487
242,Quiz,2025-05-26,100,422
243,Quiz,2025-02-26,30,64
244,Midterm,2025-01-13,30,833
245,Final,2025-07-16,30,646
246,Midterm,2025-02-13,30,926
247,Final,2025-01-07,100,271
248,Final,2025-03-10,20,677
249,Quiz,2025-10-31,50,547
250,Final,2025-07-26,20,695
251,Midterm,2025-12-24,30,762
252,Quiz,2025-02-16,30,706
253,Midterm,2025-01-26,50,480
254,Quiz,2025-02-14,50,111
255,Quiz,2025-07-05,30,207
256,Final,2025-03-13,50,84
257,Midterm,2025-04-26,100,777
258,Midterm,2025-10-22,100,358
259,Final,2025-08-11,30,718
260,Midterm,2025-09-17,50,487
261,Midterm,2025-03-03,30,379
262,Final,2025-04-21,30,898
263,Final,2025-01-20,50,198
264,Midterm,2025-10-16,20,795
265,Quiz,2025-03-29,100,349
266,Quiz,2025-03-19,100,413
267,Final,2025-01-11,30,852
268,Final,2025-04-13,20,58
269,Midterm,2025-07-31,30,567
270,Quiz,2025-02-06,100,502
271,Midterm,2025-12-10,30,15
272,Midterm,2025-01-06,30,888
273,Midterm,2025-09-21,30,89
274,Midterm,2025-02-03,20,894
275,Midterm,2025-11-09,100,301
276,Final,2025-03-20,50,447
277,Quiz,2025-05-28,100,672
278,Quiz,2025-11-22,50,503
279,Quiz,2025-02-07,30,716
280,Midterm,2025-08-22,30,941
281,Midterm,2025-08-04,20,7
282,Midterm,2025-09-16,30,284
283,Quiz,2025-08-08,20,814
284,Final,2025-11-17,20,399
285,Quiz,2025-05-22,30,119
286,Midterm,2025-04-14,20,408
287,Quiz,2025-02-08,30,328
288,Quiz,2025-09-17,100,541
289,Midterm,2025-11-26,20,691
290,Midterm,2025-03-08,50,183
291,Final,2025-01-22,100,847
292,Quiz,2025-02-20,30,145
293,Final,2025-01-19,100,711
294,Midterm,2025-05-28,30,258
295,Final,2025-10-09,100,280
296,Midterm,2025-06-01,50,763
297,Quiz,2025-04-04,30,66
298,Midterm,2025-12-23,50,170
299,Quiz,2025-08-27,30,237
300,Midterm,2025-01-12,100,458
301,Midterm,2025-08-27,50,220
302,Final,2025-09-13,50,478
303,Final,2025-07-14,50,12
304,Midterm,2025-04-09,20,364
305,Final,2025-11-28,50,712
306,Midterm,2025-03-07,20,162
307,Final,2025-03-16,30,343
308,Quiz,2025-11-02,50,405
309,Midterm,2025-01-31,100,14
310,Quiz,2025-03-02,50,51
311,Midterm,2025-04-29,100,509
312,Final,2025-10-31,20,141
313,Midterm,2025-06-29,100,589
314,Midterm,2025-01-15,20,652
315,Midterm,2025-04-11,20,408
316,Final,2025-12-31,50,918
317,Quiz,2025-11-09,20,406
318,Midterm,2025-01-18,100,903
319,Midterm,2025-10-20,100,462
320,Quiz,2025-10-22,50,89
321,Final,2025-04-14,20,413
322,Final,2025-12-24,50,326
323,Quiz,2025-09-10,100,361
324,Final,2025-05-21,20,649
325,Quiz,2025-07-12,20,688
326,Final,2025-02-14,100,171
327,Quiz,2025-02-10,50,419
328,Final,2025-04-09,100,185
329,Final,2025-11-01,50,279
330,Quiz,2025-11-16,30,60
331,Final,2025-01-28,100,760
332,Final,2025-10-14,100,80
333,Midterm,2025-03-15,100,759
334,Midterm,2025-05-18,30,683
335,Quiz,2025-10-20,100,849
336,Quiz,2025-05-20,20,104
337,Final,2025-09-01,50,299
338,Quiz,2025-05-24,20,127
339,Midterm,2025-07-14,20,422
340,Midterm,2025-08-24,50,579
341,Quiz,2025-03-01,20,819
342,Midterm,2025-01-29,20,69
343,Midterm,2025-10-03,30,666
344,Final,2025-01-20,30,359
345,Quiz,2025-07-28,30,33
346,Midterm,2025-12-24,30,833
347,Final,2025-07-27,30,650
348,Midterm,2025-06-02,30,728
349,Quiz,2025-10-25,50,55
350,Midterm,2025-06-21,50,72
351,Midterm,2025-02-04,100,327
352,Quiz,2025-08-26,20,156
353,Midterm,2025-07-01,20,114
354,Midterm,2025-03-17,30,902
355,Midterm,2025-09-05,20,747
356,Midterm,2025-03-19,20,615
357,Midterm,2025-06-08,100,396
358,Quiz,2025-03-02,30,635
359,Final,2025-05-05,20,872
360,Midterm,2025-07-07,100,591
361,Final,2025-02-21,100,715
362,Midterm,2025-08-01,30,429
363,Final,2025-10-13,30,930
364,Midterm,2025-05-19,50,667
365,Final,2025-08-27,50,735
366,Final,2025-06-17,20,174
367,Final,2025-03-04,50,535
368,Final,2025-02-25,100,75
369,Quiz,2025-05-03,50,899
370,Final,2025-02-05,100,413
371,Quiz,2025-02-17,30,880
372,Final,2025-10-22,100,892
373,Final,2025-05-31,50,816
374,Quiz,2025-07-02,100,224
375,Final,2025-10-12,100,677
376,Midterm,2025-07-27,50,709
377,Quiz,2025-03-03,20,492
378,Quiz,2025-11-14,100,201
379,Quiz,2025-02-12,20,499
380,Quiz,2025-03-30,30,726
381,Quiz,2025-09-14,30,282
382,Midterm,2025-12-10,30,677
383,Quiz,2025-07-10,100,169
384,Final,2025-04-19,20,530
385,Final,2025-11-08,30,469
386,Midterm,2025-03-07,20,15
387,Quiz,2025-09-27,100,245
388,Final,2025-08-19,50,179
389,Quiz,2025-05-31,50,802
390,Midterm,2025-06-13,100,308
391,Quiz,2025-01-02,100,516
392,Quiz,2025-05-11,20,405
393,Midterm,2025-08-13,30,46
394,Final,2025-08-27,100,318
395,Midterm,2025-10-09,100,786
396,Midterm,2025-04-17,50,728
397,Final,2025-03-24,30,293
398,Quiz,2025-07-25,50,279
399,Midterm,2025-10-02,100,789
400,Midterm,2025-03-29,30,104
401,Quiz,2025-11-18,30,918
402,Midterm,2025-05-22,20,7
403,Quiz,2025-06-21,20,168
404,Quiz,2025-11-11,50,543
405,Final,2025-11-12,30,339
406,Midterm,2025-06-02,50,202
407,Final,2025-11-29,50,51
408,Midterm,2025-06-30,30,451
409,Midterm,2025-04-20,30,7
410,Midterm,2025-08-03,20,232
411,Final,2025-03-13,100,229
412,Quiz,2025-10-05,30,788
413,Quiz,2025-05-21,30,303
414,Quiz,2025-02-12,30,63
415,Midterm,2025-10-15,50,278
416,Midterm,2025-04-25,50,895
417,Midterm,2025-07-31,30,838
418,Midterm,2025-09-18,20,18
419,Quiz,2025-06-30,20,875
420,Midterm,2025-01-17,20,747
421,Quiz,2025-09-07,100,345
422,Final,2025-11-01,50,122
423,Midterm,2025-07-06,20,194
424,Midterm,2025-10-28,100,764
425,Midterm,2025-02-11,20,763
426,Final,2025-12-02,20,550
427,Final,2025-10-15,30,158
428,Midterm,2025-09-21,50,343
429,Final,2025-09-11,100,673
430,Quiz,2025-05-14,100,390
431,Final,2025-06-10,20,709
432,Quiz,2025-07-18,30,288
433,Final,2025-08-28,20,600
434,Final,2025-05-28,50,184
435,Final,2025-05-15,20,492
436,Final,2025-08-04,50,306
437,Final,2025-03-01,20,923
438,Final,2025-03-04,30,48
439,Quiz,2025-11-21,50,771
440,Midterm,2025-12-27,30,147
441,Midterm,2025-01-19,30,752
442,Quiz,2025-09-10,100,464
443,Midterm,2025-12-15,50,142
444,Quiz,2025-02-03,50,890
445,Final,2025-02-18,30,143
446,Midterm,2025-10-24,20,517
447,Midterm,2025-06-03,50,688
448,Quiz,2025-02-19,50,756
449,Midterm,2025-07-30,50,242
450,Final,2025-01-22,30,636
451,Midterm,2025-07-21,100,510
452,Quiz,2025-04-22,20,435
453,Final,2025-09-30,50,29
454,Final,2025-04-07,100,898
455,Final,2025-05-27,30,72
456,Quiz,2025-11-03,100,710
457,Final,2025-05-13,30,231
458,Quiz,2025-08-21,30,527
459,Midterm,2025-02-23,100,24
460,Final,2025-03-30,50,364
461,Midterm,2025-12-04,20,121
462,Final,2025-09-28,100,44
463,Final,2025-11-04,20,680
464,Quiz,2025-05-15,20,712
465,Quiz,2025-04-07,30,596
466,Quiz,2025-02-08,20,750
467,Quiz,2025-07-21,20,312
468,Final,2025-11-19,20,356
469,Quiz,2025-04-25,50,55
470,Quiz,2025-10-03,20,537
471,Midterm,2025-05-24,100,714
472,Quiz,2025-08-01,50,661
473,Final,2025-04-19,30,750
474,Final,2025-02-18,50,604
475,Final,2025-05-15,30,236
476,Midterm,2025-06-02,30,816
477,Final,2025-02-06,20,791
478,Quiz,2025-09-16,30,654
479,Quiz,2025-07-05,20,808
480,Final,2025-10-01,100,758
481,Quiz,2025-05-09,20,813
482,Midterm,2025-03-27,50,660
483,Quiz,2025-05-03,20,710
484,Midterm,2025-11-26,30,9
485,Quiz,2025-06-04,100,175
486,Quiz,2025-08-18,50,683
487,Midterm,2025-12-01,50,196
488,Quiz,2025-06-29,100,870
489,Midterm,2025-03-02,30,647
490,Midterm,2025-10-01,50,83
491,Quiz,2025-10-14,20,744
492,Final,2025-03-01,100,577
493,Midterm,2025-10-16,100,856
494,Final,2025-10-23,50,310
495,Midterm,2025-09-10,30,184
496,Midterm,2025-06-01,30,343
497,Midterm,2025-04-12,100,122
498,Final,2025-06-13,50,430
499,Final,2025-02-03,100,211
500,Quiz,2025-12-14,50,952
501,Midterm,2025-07-25,30,757
502,Midterm,2025-11-27,100,948
503,Midterm,2025-10-20,50,830
504,Quiz,2025-04-23,50,532
505,Final,2025-03-26,20,791
506,Final,2025-09-26,50,468
507,Quiz,2025-12-21,20,554
508,Final,2025-05-28,20,704
509,Midterm,2025-05-27,50,501
510,Quiz,2025-10-12,50,218
511,Midterm,2025-01-10,50,713
512,Midterm,2025-08-26,30,335
513,Midterm,2025-06-17,30,185
514,Final,2025-06-08,50,628
515,Midterm,2025-10-26,50,678
516,Final,2025-11-01,100,562
517,Final,2025-11-23,20,138
518,Quiz,2025-07-27,20,57
519,Midterm,2025-05-11,30,762
520,Midterm,2025-12-01,30,379
521,Final,2025-03-08,50,953
522,Final,2026-01-01,100,487
523,Final,2025-02-09,100,404
524,Quiz,2025-07-28,30,2
525,Midterm,2025-02-09,100,678
526,Midterm,2025-03-01,20,437
527,Midterm,2025-12-19,50,752
528,Quiz,2025-05-23,30,70
529,Final,2025-12-12,100,70
530,Quiz,2025-08-15,100,42
531,Midterm,2025-01-04,50,59
532,Quiz,2025-10-01,30,791
533,Quiz,2025-04-09,100,696
534,Final,2025-12-14,100,396
535,Final,2025-03-10,100,916
536,Midterm,2025-09-17,50,712
537,Final,2025-10-09,30,644
538,Final,2025-03-02,20,214
539,Final,2025-11-19,50,575
540,Final,2025-07-03,30,513
541,Final,2025-11-19,100,243
542,Final,2025-03-02,100,319
543,Midterm,2025-05-10,100,87
544,Final,2025-11-01,30,584
545,Midterm,2025-03-13,20,255
546,Quiz,2025-06-27,100,901
547,Midterm,2025-05-10,30,147
548,Midterm,2025-10-05,20,727
549,Final,2025-08-04,20,53
550,Quiz,2025-09-14,100,335
551,Final,2025-09-03,30,202
552,Quiz,2025-05-19,50,602
553,Quiz,2025-12-15,50,44
554,Quiz,2025-12-25,100,112
555,Quiz,2025-08-25,50,719
556,Midterm,2025-06-01,100,739
557,Final,2025-11-02,30,838
558,Quiz,2025-11-08,50,17
559,Midterm,2025-01-04,20,836
560,Final,2025-04-05,50,409
561,Final,2025-03-22,100,668
562,Midterm,2025-06-01,50,561
563,Final,2025-03-01,30,287
564,Final,2025-07-14,20,823
565,Final,2025-05-31,20,2
566,Midterm,2025-04-06,20,96
567,Final,2025-05-03,50,126
568,Quiz,2025-12-14,30,291
569,Final,2025-04-07,20,415
570,Final,2025-09-03,30,163
571,Final,2025-04-14,30,590
572,Midterm,2025-07-22,50,753
573,Final,2025-11-20,30,171
574,Midterm,2025-02-18,20,824
575,Midterm,2025-03-31,50,67
576,Midterm,2025-10-09,30,227
577,Final,2025-01-09,100,631
578,Midterm,2025-01-18,30,64
579,Midterm,2025-04-02,50,648
580,Midterm,2025-08-25,30,101
581,Final,2025-07-21,30,745
582,Quiz,2025-03-14,50,89
583,Quiz,2025-01-10,20,788
584,Final,2025-09-05,50,929
585,Quiz,2025-02-02,50,143
586,Midterm,2025-07-03,30,744
587,Quiz,2025-01-03,30,77
588,Midterm,2025-05-12,30,543
589,Final,2025-01-29,20,458
590,Final,2025-11-07,30,114
591,Final,2025-01-16,30,477
592,Quiz,2025-05-09,20,623
593,Midterm,2025-10-31,30,220
594,Final,2025-03-28,100,309
595,Final,2025-12-14,30,359
596,Final,2025-01-09,100,152
597,Quiz,2025-06-02,30,857
598,Quiz,2025-01-19,50,644
599,Final,2025-07-30,30,241
600,Midterm,2025-02-15,20,174
601,Midterm,2025-06-12,20,287
602,Final,2025-12-28,50,136
603,Final,2025-09-11,50,456
604,Midterm,2025-01-16,20,132
605,Final,2025-04-21,100,548
606,Final,2025-05-15,50,858
607,Midterm,2025-07-24,100,565
608,Quiz,2025-07-08,20,380
609,Quiz,2025-03-01,20,902
610,Quiz,2025-08-15,20,89
611,Midterm,2025-11-22,20,382
612,Midterm,2025-12-08,20,437
613,Midterm,2025-08-19,30,589
614,Final,2025-06-03,20,166
615,Final,2025-12-23,30,911
616,Midterm,2025-03-28,30,295
617,Midterm,2025-04-28,30,148
618,Quiz,2025-04-16,20,601
619,Quiz,2025-08-24,20,718
620,Midterm,2025-12-29,30,397
621,Quiz,2025-03-10,20,242
622,Midterm,2025-05-18,30,849
623,Midterm,2025-08-20,50,726
624,Midterm,2025-08-01,30,848
625,Midterm,2025-04-11,30,496
626,Midterm,2025-01-10,100,437
627,Midterm,2025-11-11,50,194
628,Quiz,2025-09-04,30,902
629,Final,2025-03-11,30,451
630,Quiz,2025-04-07,50,748
631,Final,2025-03-22,20,488
632,Final,2025-03-20,30,452
633,Final,2025-06-25,100,126
634,Final,2025-04-30,100,347
635,Midterm,2025-12-12,30,270
636,Final,2025-11-05,100,55
637,Midterm,2025-03-06,50,752
638,Midterm,2025-05-18,50,442
639,Final,2025-08-10,50,585
640,Quiz,2025-06-09,30,895
641,Final,2025-09-03,30,930
642,Midterm,2025-10-06,50,369
643,Final,2025-02-24,30,725
644,Midterm,2025-01-12,100,344
645,Final,2025-10-20,20,649
646,Quiz,2025-10-04,30,436
647,Final,2025-12-15,20,488
648,Midterm,2025-02-15,30,801
649,Final,2025-05-01,50,231
650,Midterm,2025-01-01,50,660
651,Final,2025-07-02,30,163
652,Quiz,2025-08-17,30,573
653,Midterm,2025-08-25,50,238
654,Final,2025-12-09,50,524
655,Midterm,2025-09-13,20,780
656,Quiz,2025-07-14,30,66
657,Midterm,2025-04-28,50,99
658,Final,2025-08-10,30,809
659,Midterm,2025-09-20,50,593
660,Quiz,2025-04-28,50,126
661,Midterm,2025-06-02,50,841
662,Final,2025-01-26,20,890
663,Final,2025-08-31,50,698
664,Quiz,2025-04-22,50,216
665,Midterm,2025-08-31,50,908
666,Final,2025-11-15,50,770
667,Final,2025-07-05,30,28
668,Quiz,2025-07-09,30,648
669,Final,2025-08-02,20,703
670,Midterm,2025-10-10,20,845
671,Midterm,2025-12-29,50,420
672,Midterm,2025-05-13,100,284
673,Quiz,2025-12-23,30,550
674,Midterm,2025-10-13,30,343
675,Quiz,2025-11-07,100,553
676,Final,2025-06-05,50,815
677,Final,2025-06-12,20,319
678,Midterm,2025-06-11,100,663
679,Quiz,2025-01-15,50,519
680,Midterm,2025-07-14,20,796
681,Final,2025-08-28,30,908
682,Final,2025-12-29,50,620
683,Quiz,2025-04-27,30,199
684,Midterm,2025-10-12,30,8
685,Final,2025-11-04,20,308
686,Final,2025-10-07,50,846
687,Midterm,2025-09-17,50,814
688,Midterm,2025-11-13,50,905
689,Midterm,2025-05-16,100,834
690,Final,2025-09-08,100,581
691,Final,2025-09-22,30,432
692,Quiz,2025-08-06,30,304
693,Final,2025-09-23,30,75
694,Quiz,2025-06-01,20,593
695,Midterm,2025-12-18,100,114
696,Final,2025-09-05,30,452
697,Midterm,2025-05-01,30,605
698,Final,2025-05-17,30,330
699,Midterm,2025-04-28,100,145
700,Midterm,2025-11-15,100,503
701,Final,2025-06-16,20,449
702,Midterm,2025-09-03,30,772
703,Midterm,2025-12-30,50,379
704,Final,2025-10-22,20,264
705,Midterm,2025-10-06,50,370
706,Quiz,2025-07-24,30,206
707,Quiz,2025-02-09,30,637
708,Final,2025-09-10,100,316
709,Midterm,2025-05-12,20,841
710,Quiz,2025-05-18,100,901
711,Final,2025-02-06,100,672
712,Midterm,2025-02-04,100,307
713,Final,2025-03-28,100,217
714,Final,2025-03-14,20,70
715,Midterm,2025-04-17,50,729
716,Quiz,2025-04-27,100,602
717,Final,2025-07-16,50,354
718,Quiz,2025-05-27,50,374
719,Midterm,2025-01-03,50,31
720,Midterm,2025-08-18,100,844
721,Quiz,2025-08-01,100,834
722,Final,2025-03-13,20,6
723,Midterm,2025-06-07,50,703
724,Midterm,2025-02-27,50,132
725,Quiz,2025-10-20,30,414
726,Final,2025-06-07,20,572
727,Quiz,2025-05-09,20,19
728,Quiz,2025-10-04,100,838
729,Final,2025-03-21,50,30
730,Quiz,2025-04-22,20,343
731,Quiz,2025-12-05,50,439
732,Final,2025-10-08,100,901
733,Quiz,2025-08-15,50,660
734,Quiz,2025-08-15,100,514
735,Final,2025-02-13,30,843
736,Quiz,2025-03-17,100,196
737,Midterm,2025-08-23,30,81
738,Midterm,2025-11-17,30,619
739,Quiz,2025-03-23,30,523
740,Midterm,2025-12-23,50,114
741,Final,2025-11-06,30,469
742,Final,2025-11-11,100,5
743,Quiz,2025-08-09,30,170
744,Quiz,2025-07-02,100,760
745,Final,2025-06-18,50,597
746,Midterm,2025-03-05,100,723
747,Final,2025-05-07,100,159
748,Final,2025-02-20,50,938
749,Midterm,2025-11-19,100,180
750,Midterm,2025-03-18,30,20
751,Final,2025-09-21,100,883
752,Final,2025-09-29,30,902
753,Quiz,2025-09-15,50,215
754,Final,2025-11-18,30,543
755,Quiz,2025-02-24,50,597
756,Quiz,2025-07-25,30,246
757,Quiz,2025-06-01,20,672
758,Quiz,2025-03-22,20,390
759,Final,2025-12-29,100,804
760,Final,2025-11-28,100,105
761,Quiz,2025-05-08,50,881
762,Quiz,2025-03-18,100,131
763,Final,2025-09-30,30,640
764,Quiz,2025-04-03,30,583
765,Final,2025-04-26,30,168
766,Quiz,2025-08-25,20,927
767,Midterm,2025-06-13,30,214
768,Quiz,2025-06-27,100,533
769,Midterm,2025-05-26,20,870
770,Quiz,2025-02-01,30,813
771,Midterm,2025-07-08,50,788
772,Midterm,2025-06-21,30,508
773,Quiz,2025-11-12,20,289
774,Midterm,2025-05-14,20,752
775,Quiz,2025-12-18,100,712
776,Quiz,2025-01-30,50,415
777,Midterm,2025-09-14,20,305
778,Midterm,2025-01-10,50,374
779,Final,2025-04-03,50,942
780,Midterm,2025-07-29,50,286
781,Final,2025-01-29,100,503
782,Quiz,2025-04-02,100,517
783,Quiz,2025-09-18,30,256
784,Final,2025-12-26,50,541
785,Midterm,2025-10-21,100,737
786,Quiz,2025-07-30,30,1
787,Quiz,2025-06-11,100,865
788,Final,2025-07-05,50,54
789,Quiz,2025-04-13,100,816
790,Final,2025-12-04,50,758
791,Final,2025-09-20,20,235
792,Midterm,2025-11-10,20,8
793,Final,2025-06-03,100,168
794,Quiz,2025-07-26,20,127
795,Midterm,2025-06-19,20,428
796,Quiz,2025-10-02,30,376
797,Quiz,2025-12-20,100,508
798,Final,2025-07-22,30,911
799,Midterm,2025-08-12,20,674
800,Quiz,2025-10-10,100,910
801,Final,2025-11-28,20,383
802,Midterm,2025-09-08,100,454
803,Midterm,2025-12-21,50,86
804,Final,2025-02-28,20,410
805,Midterm,2025-04-01,50,148
806,Midterm,2025-07-26,20,322
